1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
1.167, 1.153, 1.181, 1.28, 1.391, 1.455, 1.593, 1.684, 1.985, 2.259, 2.335, 2.494, 2.754, 3.154, 3.29, 3.497
1.227, 1.189, 1.188, 1.217, 1.349, 1.463, 1.572, 1.717, 1.912, 2.161, 2.395, 2.603, 2.756, 2.979, 3.178, 3.431
1.316, 1.205, 1.192, 1.205, 1.35, 1.464, 1.578, 1.755, 1.922, 2.134, 2.33, 2.531, 2.816, 2.934, 3.208, 3.427
1.267, 1.217, 1.193, 1.219, 1.373, 1.481, 1.582, 1.722, 1.932, 2.142, 2.316, 2.588, 2.746, 3.03, 3.358, 3.445
1.276, 1.205, 1.209, 1.196, 1.432, 1.47, 1.581, 1.674, 1.874, 2.147, 2.521, 2.553, 2.867, 3.07, 3.3, 3.372
1.257, 1.198, 1.187, 1.275, 1.366, 1.459, 1.583, 1.669, 1.927, 2.166, 2.333, 2.786, 2.765, 2.97, 3.064, 3.324
1.162, 1.153, 1.177, 1.18, 1.306, 1.452, 1.555, 1.684, 2.112, 2.077, 2.303, 2.524, 2.721, 2.916, 3.122, 3.32
1.173, 1.157, 1.181, 1.182, 1.338, 1.43, 1.535, 1.674, 1.859, 2.077, 2.283, 2.509, 2.712, 2.921, 3.172, 3.568
1.196, 1.158, 1.18, 1.185, 1.303, 1.472, 1.566, 1.681, 1.888, 2.08, 2.281, 2.479, 2.683, 2.894, 3.102, 3.303
1.179, 1.154, 1.177, 1.191, 1.386, 1.491, 1.571, 1.671, 1.847, 2.076, 2.295, 2.465, 2.701, 2.915, 3.127, 3.758
