1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
0.772, 0.702, 0.701, 0.714, 0.901, 0.997, 1.157, 1.307, 1.355, 1.572, 1.711, 1.887, 2.038, 2.191, 2.325, 2.53
0.701, 0.688, 0.696, 0.712, 0.866, 0.992, 1.125, 1.24, 1.406, 1.534, 1.729, 1.902, 2.019, 2.249, 2.386, 2.474
0.767, 0.711, 0.715, 0.71, 0.849, 1.008, 1.091, 1.24, 1.411, 1.579, 1.713, 1.893, 2.098, 2.147, 2.29, 2.536
0.764, 0.677, 0.699, 0.702, 0.791, 0.925, 1.149, 1.231, 1.388, 1.533, 1.695, 1.879, 2.046, 2.193, 2.303, 2.455
0.695, 0.687, 0.704, 0.727, 0.832, 0.973, 1.125, 1.347, 1.397, 1.574, 1.832, 1.912, 2.03, 2.152, 2.378, 2.516
0.686, 0.692, 0.694, 0.701, 0.826, 1.0, 1.051, 1.24, 1.38, 1.549, 1.691, 1.784, 2.014, 2.181, 2.354, 2.485
0.776, 0.715, 0.71, 0.725, 0.783, 0.957, 1.078, 1.253, 1.376, 1.546, 1.701, 1.838, 2.02, 2.155, 2.319, 2.462
0.713, 0.686, 0.693, 0.707, 0.8, 0.876, 1.031, 1.223, 1.393, 1.556, 1.712, 1.778, 2.019, 2.148, 3.483, 2.463
0.717, 0.692, 0.695, 0.732, 0.837, 0.982, 1.151, 1.891, 1.412, 1.569, 1.774, 1.916, 1.963, 2.166, 2.306, 2.497
0.695, 0.677, 0.695, 0.697, 0.89, 0.998, 1.061, 1.233, 1.391, 1.546, 1.701, 1.843, 2.007, 2.16, 2.278, 2.463
