1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
1.010250568, 1.033063769, 1.043730617, 1.067407370, 1.295010567, 1.507435322, 1.673561335, 1.865866065, 2.567173004, 2.321029663, 2.547471285, 3.244509935, 3.028863907, 3.258870363, 3.934302568, 3.732492208
1.027720571, 1.439538956, 1.043441772, 1.039608359, 1.283068061, 1.489655256, 1.674591541, 1.867010355, 2.088215828, 2.320609570, 3.020705462, 2.785015106, 3.015567064, 3.267886639, 3.469848394, 3.703827620
1.027659416, 1.032313466, 1.490799904, 1.041541934, 1.283517599, 1.485535860, 1.692211986, 1.865501046, 2.116293669, 2.322746277, 2.547196627, 2.776187658, 3.020548105, 3.249011755, 3.918302298, 3.721785545
1.020540833, 1.018936038, 1.036224723, 1.466993809, 1.282731891, 1.489099741, 1.678463817, 1.865920782, 2.084115744, 2.796776533, 2.562941074, 2.777681589, 3.008005381, 3.247138739, 3.475894213, 3.700733662
1.011975527, 1.012072206, 1.057914734, 1.061614871, 1.762809873, 1.496926188, 1.687990546, 2.320216656, 2.105627060, 2.318843603, 3.006349325, 2.783203363, 3.025177240, 3.243717432, 3.470917225, 3.721785069
1.011656642, 1.015786171, 1.038311958, 1.039676785, 1.288909912, 1.481341004, 1.695500731, 1.862091422, 2.083509445, 2.313224792, 2.548009157, 3.252676725, 3.010518551, 3.239738464, 3.485236883, 3.702636003
1.049070120, 1.015411019, 1.039865255, 1.065690517, 1.288064837, 1.932024240, 1.685583353, 1.859645605, 2.086970806, 2.331720114, 2.550343275, 3.241319656, 3.038707495, 3.239814281, 3.922699451, 3.724311113
1.013010979, 1.012760162, 1.035315394, 1.045259356, 1.295450926, 1.493936300, 1.692727447, 1.870387435, 2.086837053, 2.810552120, 2.561066389, 2.793106079, 3.473617554, 3.248963356, 3.495632887, 4.170815945
1.008361816, 1.012496352, 1.036371827, 1.066151381, 1.297784328, 1.493404746, 1.690922856, 2.343288898, 2.087854385, 2.331564188, 2.544986010, 2.777738810, 3.020863533, 3.722366095, 3.485330343, 3.716207981
1.029293656, 1.019471765, 1.036773562, 1.040493727, 1.284021258, 1.487964749, 1.679384589, 1.875290990, 2.085309744, 2.314865589, 2.551190853, 2.799918175, 3.010697365, 3.243754148, 3.498414278, 3.708617449
