1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
0.755, 0.708, 0.708, 0.747, 0.912, 1.016, 1.121, 1.286, 1.396, 1.589, 1.725, 1.849, 2.037, 2.214, 2.36, 2.464
0.703, 0.682, 0.705, 0.722, 0.818, 1.024, 1.072, 1.238, 1.425, 1.569, 1.723, 1.838, 2.04, 2.166, 2.366, 2.587
0.742, 0.698, 0.7, 0.732, 0.838, 1.002, 1.126, 1.23, 1.416, 1.576, 1.711, 1.847, 2.039, 2.233, 2.392, 2.544
0.732, 0.68, 0.701, 0.74, 1.172, 0.973, 1.14, 1.309, 1.412, 1.552, 1.694, 1.812, 1.997, 2.15, 2.256, 2.485
0.719, 0.682, 0.693, 0.704, 0.876, 1.414, 1.109, 1.175, 1.397, 1.556, 1.704, 1.864, 3.061, 2.134, 2.339, 2.535
0.688, 0.681, 0.697, 0.703, 0.816, 1.05, 1.133, 1.275, 1.327, 1.538, 1.685, 1.831, 2.0, 2.171, 2.266, 2.482
0.739, 0.705, 0.72, 0.726, 0.884, 0.999, 1.144, 1.337, 1.449, 1.567, 1.704, 1.857, 2.006, 2.179, 2.319, 3.763
0.719, 0.689, 0.697, 0.702, 0.832, 1.0, 1.098, 1.234, 1.389, 1.54, 1.656, 1.857, 1.993, 2.09, 2.332, 2.473
0.7, 0.677, 0.694, 0.698, 0.843, 0.983, 1.142, 1.233, 1.389, 1.548, 1.696, 1.812, 1.999, 2.17, 2.323, 2.419
0.704, 0.682, 0.923, 0.701, 0.881, 0.909, 1.155, 1.232, 1.389, 1.54, 1.698, 1.852, 2.034, 3.238, 2.324, 2.483
