1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
0.008138971, 0.014675823, 0.019007856, 0.024076425, 0.033516470, 0.036093447, 0.039939038, 0.053482711, 0.055060569, 0.065710485, 0.087249815, 0.092295058, 0.090519123, 0.080403335, 0.121564515, 0.122327104
0.003129712, 0.011321005, 0.015809985, 0.025013275, 0.033366099, 0.035872784, 0.044210158, 0.043415423, 0.060984489, 0.053544052, 0.065482482, 0.077323295, 0.099870168, 0.105607614, 0.082417682, 0.123349473
0.003489077, 0.011386288, 0.017438274, 0.023402208, 0.029884469, 0.034001306, 0.042460300, 0.041755583, 0.055856403, 0.060307689, 0.077416867, 0.096339747, 0.087663107, 0.106373221, 0.110262215, 0.117676690
0.003170394, 0.011716076, 0.018374857, 0.026634317, 0.031832021, 0.037202805, 0.052686252, 0.057858046, 0.069713794, 0.075171784, 0.081905648, 0.061772376, 0.084648117, 0.082847320, 0.106633671, 0.130844772
0.003512485, 0.011337629, 0.016622506, 0.015341958, 0.024563512, 0.028617729, 0.040490620, 0.048970867, 0.054639347, 0.084317826, 0.077657267, 0.075677060, 0.099761255, 0.109322339, 0.109178618, 0.119388402
0.003226838, 0.010982406, 0.019037550, 0.028903944, 0.032683659, 0.045037676, 0.053092681, 0.055360846, 0.062426761, 0.072057389, 0.081293799, 0.091650881, 0.090461597, 0.088685624, 0.116128661, 0.122175939
0.003058035, 0.012636353, 0.019695956, 0.029667305, 0.029875401, 0.041577920, 0.054334082, 0.063485920, 0.070243910, 0.074059665, 0.089774959, 0.091737494, 0.103267573, 0.111750342, 0.117968008, 0.131380990
0.003065377, 0.010932701, 0.020292755, 0.029119121, 0.034714676, 0.051840916, 0.054886647, 0.058434173, 0.061520491, 0.071492143, 0.074223526, 0.089305118, 0.089665309, 0.102856539, 0.121753983, 0.124165505
0.003066914, 0.011441370, 0.018694842, 0.025208076, 0.030480055, 0.035273571, 0.048618801, 0.064603709, 0.062081445, 0.060007829, 0.079119824, 0.081549317, 0.101773039, 0.099949397, 0.112263642, 0.131630227
0.003071652, 0.011601464, 0.016357224, 0.023610236, 0.027925359, 0.039282698, 0.048736304, 0.060323983, 0.068422399, 0.073777705, 0.080588281, 0.084229819, 0.098905995, 0.109049939, 0.110785022, 0.131423011
