1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
0.71, 0.692, 0.708, 0.737, 0.869, 1.072, 1.185, 1.339, 1.435, 1.607, 1.786, 1.859, 2.058, 2.221, 2.318, 2.502
0.749, 0.703, 0.701, 0.74, 0.888, 0.972, 1.149, 1.248, 1.446, 1.608, 1.743, 1.888, 2.06, 2.206, 2.367, 2.505
0.714, 0.686, 0.697, 0.704, 0.821, 0.988, 1.133, 1.281, 1.459, 1.596, 1.737, 1.921, 2.099, 2.182, 2.318, 3.715
0.707, 0.675, 0.693, 0.702, 0.824, 1.02, 1.106, 1.241, 1.395, 1.556, 1.696, 1.853, 2.018, 2.183, 2.292, 2.574
0.78, 0.707, 0.716, 0.741, 0.872, 1.016, 1.081, 1.25, 1.419, 1.611, 1.806, 1.938, 2.053, 2.237, 3.595, 2.639
0.787, 0.7, 0.699, 0.736, 0.885, 0.976, 1.095, 1.272, 1.349, 1.688, 1.747, 1.892, 2.015, 2.176, 2.343, 2.489
0.73, 0.686, 0.703, 0.717, 0.883, 1.012, 1.154, 1.277, 1.429, 1.604, 1.705, 1.877, 3.061, 2.178, 2.33, 2.522
0.701, 0.68, 0.696, 0.708, 0.912, 0.981, 1.142, 1.266, 1.414, 1.565, 1.706, 1.869, 1.972, 2.191, 2.328, 2.511
0.698, 0.687, 0.694, 0.707, 0.85, 1.02, 1.125, 1.261, 1.396, 1.551, 1.721, 1.853, 2.022, 2.176, 2.402, 2.622
0.729, 0.706, 0.707, 0.739, 0.848, 0.983, 1.153, 1.261, 1.395, 1.565, 1.684, 1.865, 2.021, 2.2, 2.31, 2.502
