1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
0.699, 0.681, 0.697, 0.703, 0.875, 1.104, 1.276, 1.383, 1.462, 2.421, 1.925, 2.012, 2.159, 2.363, 2.509, 2.681
0.786, 0.7, 0.709, 0.75, 0.851, 1.034, 1.136, 1.345, 1.44, 1.641, 1.814, 1.99, 2.18, 2.311, 2.499, 2.651
0.775, 0.69, 0.705, 0.729, 0.823, 1.021, 1.193, 1.316, 1.487, 1.65, 1.861, 1.951, 2.121, 2.361, 2.541, 2.676
0.777, 0.706, 0.727, 0.745, 0.915, 1.041, 1.218, 1.33, 1.475, 1.656, 1.812, 1.995, 2.18, 2.298, 2.454, 2.641
0.697, 0.678, 0.695, 0.702, 0.866, 1.126, 1.224, 1.342, 1.46, 1.643, 1.796, 1.905, 2.099, 2.266, 2.422, 2.601
0.683, 0.675, 0.694, 0.694, 0.839, 0.959, 1.13, 1.231, 1.459, 1.626, 1.783, 1.961, 2.177, 2.276, 2.488, 2.632
0.676, 0.677, 0.692, 0.692, 0.837, 1.066, 1.207, 1.292, 1.423, 1.609, 1.778, 1.903, 2.106, 2.277, 2.533, 2.6
0.675, 0.672, 0.693, 0.692, 0.798, 0.924, 1.136, 1.295, 1.455, 1.62, 1.783, 1.928, 2.127, 2.257, 2.436, 2.585
0.673, 0.679, 0.691, 0.694, 0.905, 0.974, 1.133, 1.315, 1.461, 1.624, 1.794, 1.946, 2.093, 2.258, 3.483, 2.594
0.678, 0.675, 0.691, 0.692, 0.86, 0.907, 1.106, 1.863, 1.47, 1.635, 1.782, 1.941, 2.03, 2.227, 2.45, 2.625
